name,address,phone,opening_hours,image_url,rating,website,source
Tanishq Jewellery,"Mahadwar Road, Near Station, Kolhapur, Maharashtra 416001",02312652652,10:00 AM - 8:00 PM (Mon-Sun),,4.2,https://www.tanishq.co.in,Manual
Kalyan Jewellers,"Station Road, Near Railway Station, Kolhapur, Maharashtra 416001",02312651234,10:00 AM - 9:00 PM (Mon-Sun),,4.0,https://www.kalyanjewellers.net,Manual
PC Jeweller,"Tarabai Park, Near Shalini Palace, Kolhapur, Maharashtra 416003",02312655678,10:00 AM - 8:30 PM (Mon-Sun),,3.8,https://www.pcjeweller.com,Manual
Malabar Gold & Diamonds,"New Mahadwar Road, Shahupuri, Kolhapur, Maharashtra 416001",02312657890,10:00 AM - 9:00 PM (Mon-Sun),,4.3,https://www.malabargoldanddiamonds.com,Manual
Senco Gold & Diamonds,"Rajaram Road, Near Mahalaxmi Temple, Kolhapur, Maharashtra 416012",02312654321,10:00 AM - 8:00 PM (Mon-Sun),,4.1,https://www.sencogoldanddiamonds.com,Manual
Tribhovandas Bhimji Zaveri (TBZ),"Mahadwar Road, Kolhapur, Maharashtra 416001",02312658765,10:30 AM - 8:30 PM (Mon-Sun),,4.0,https://www.tbztheoriginal.com,Manual
Waman Hari Pethe Jewellers,"Rankala Lake Road, Kolhapur, Maharashtra 416012",02312659876,10:00 AM - 8:00 PM (Mon-Sun),,4.2,https://www.whpjewellers.com,Manual
Orra Fine Jewellery,"Station Road, Kolhapur, Maharashtra 416001",02312651111,10:00 AM - 8:30 PM (Mon-Sun),,3.9,https://www.orra.co.in,Manual
Gili India,"New Shahupuri, Kolhapur, Maharashtra 416001",02312652222,10:00 AM - 8:00 PM (Mon-Sun),,4.1,https://www.giliindia.com,Manual
Joyalukkas Jewellery,"Mahadwar Road, Kolhapur, Maharashtra 416001",02312653333,10:00 AM - 9:00 PM (Mon-Sun),,4.0,https://www.joyalukkas.com,Manual
Reliance Jewels,"Tarabai Park, Kolhapur, Maharashtra 416003",02312654444,10:00 AM - 8:30 PM (Mon-Sun),,3.8,https://www.reliancejewels.com,Manual
Shree Jewellers,"Laxmipuri, Kolhapur, Maharashtra 416002",02312655555,10:00 AM - 8:00 PM (Mon-Sat),,4.3,,Manual
Nakshatra Jewels,"Shahupuri, Near Bus Stand, Kolhapur, Maharashtra 416001",02312656666,10:00 AM - 8:30 PM (Mon-Sun),,4.0,,Manual
Popley Eternal,"Station Road, Kolhapur, Maharashtra 416001",02312657777,10:30 AM - 8:00 PM (Mon-Sun),,3.9,https://www.popley.com,Manual
Damas Jewellery,"New Mahadwar Road, Kolhapur, Maharashtra 416001",02312658888,10:00 AM - 8:30 PM (Mon-Sun),,4.1,https://www.damasjewellery.com,Manual
Raj Jewels,"Rajaram Road, Kolhapur, Maharashtra 416012",9876543210,10:00 AM - 7:30 PM (Mon-Sat),,4.2,,Manual
Gold Palace,"Mahadwar Road, Kolhapur, Maharashtra 416001",9765432109,9:30 AM - 8:00 PM (Mon-Sun),,4.0,,Manual
Diamond Palace,"Station Road, Near Railway Bridge, Kolhapur, Maharashtra 416001",9654321098,10:00 AM - 8:00 PM (Mon-Sun),,3.8,,Manual
Shubham Jewellers,"Laxmipuri Main Road, Kolhapur, Maharashtra 416002",9543210987,10:00 AM - 7:30 PM (Mon-Sat),,4.1,,Manual
Mahalaxmi Jewellers,"Near Mahalaxmi Temple, Kolhapur, Maharashtra 416012",9432109876,9:00 AM - 8:00 PM (Mon-Sun),,4.3,,Manual
